city,temp,feels_like,temp_min,temp_max,pressure,humidity
Tokyo,13.230000000000018,12.800000000000011,11.100000000000023,14.890000000000043,1010,84
Jakarta,23.99000000000001,24.430000000000007,23.99000000000001,29.760000000000048,1008,76
Delhi,39.05000000000001,38.33000000000004,39.05000000000001,39.05000000000001,998,21
Manila,31.260000000000048,34.400000000000034,29.470000000000027,32.0,1007,56
São Paulo,21.28000000000003,21.420000000000016,18.879999999999995,23.920000000000016,1020,75
Seoul,13.5,12.03000000000003,11.580000000000041,14.660000000000025,1015,43
Mumbai,32.0,39.0,30.950000000000045,32.0,1005,70
Shanghai,21.04000000000002,20.430000000000007,17.0,21.700000000000045,1010,47
Mexico City,16.600000000000023,15.54000000000002,9.230000000000018,17.810000000000002,1016,47
Guangzhou,20.920000000000016,20.5,20.920000000000016,20.920000000000016,1015,55
Cairo,32.33000000000004,30.05000000000001,32.33000000000004,32.33000000000004,1009,13
Beijing,21.920000000000016,20.850000000000023,21.920000000000016,21.920000000000016,1011,26
New York,11.379999999999995,10.900000000000034,9.870000000000005,12.340000000000032,1017,89
Kolkāta,32.960000000000036,39.960000000000036,32.960000000000036,32.960000000000036,1001,62
Moscow,14.5,12.870000000000005,13.970000000000027,15.129999999999995,1016,33
Bangkok,27.28000000000003,29.840000000000032,24.379999999999995,29.390000000000043,1007,75
Dhaka,32.98000000000002,38.77000000000004,32.98000000000002,32.98000000000002,1003,58
Buenos Aires,10.0,8.460000000000036,8.300000000000011,11.07000000000005,1023,84
Ōsaka,12.510000000000048,11.670000000000016,10.220000000000027,14.010000000000048,1013,71
Lagos,32.14000000000004,39.14000000000004,32.14000000000004,32.14000000000004,1013,66
Istanbul,18.04000000000002,17.150000000000034,13.120000000000005,18.400000000000034,1013,48
Karachi,32.08000000000004,34.04000000000002,32.08000000000004,32.08000000000004,1001,48
Kinshasa,28.32000000000005,31.150000000000034,28.32000000000005,28.32000000000005,1011,69
Shenzhen,19.980000000000018,20.28000000000003,19.400000000000034,20.680000000000007,1008,86
Bangalore,32.44,33.75,31.75,32.85000000000002,950,44
Ho Chi Minh City,28.010000000000048,31.82000000000005,28.010000000000048,28.010000000000048,1006,78
Tehran,20.610000000000014,19.560000000000002,20.350000000000023,20.939999999999998,1007,32
Los Angeles,13.689999999999998,13.200000000000045,10.330000000000041,16.27000000000004,1009,80
Rio de Janeiro,24.890000000000043,25.55000000000001,23.99000000000001,26.960000000000036,1014,81
Chengdu,23.30000000000001,24.30000000000001,23.30000000000001,24.939999999999998,1020,100
Baoding,20.850000000000023,19.720000000000027,20.850000000000023,20.850000000000023,1011,28
Chennai,35.01000000000005,42.01000000000005,35.01000000000005,35.01000000000005,1001,59
Lahore,38.99000000000001,39.120000000000005,38.99000000000001,39.06,997,24
London,14.620000000000005,13.760000000000048,12.800000000000011,16.689999999999998,1022,62
Paris,17.340000000000032,16.510000000000048,16.060000000000002,19.04000000000002,1017,53
Tianjin,17.99000000000001,16.860000000000014,17.99000000000001,17.99000000000001,1013,39
Linyi,13.680000000000007,12.410000000000025,13.680000000000007,13.680000000000007,1017,50
Shijiazhuang,21.939999999999998,20.840000000000032,21.939999999999998,21.939999999999998,1012,25
Zhengzhou,26.260000000000048,26.260000000000048,26.260000000000048,26.260000000000048,1014,21
Nanyang,20.439999999999998,19.379999999999995,20.439999999999998,20.439999999999998,1015,32
Hyderābād,37.19,36.710000000000036,37.19,38.68000000000001,1006,25
Wuhan,23.879999999999995,23.5,22.99000000000001,23.879999999999995,1017,45
Handan,21.590000000000032,20.590000000000032,21.590000000000032,21.590000000000032,1013,30
Nagoya,14.180000000000007,13.140000000000043,12.75,14.590000000000032,899,57
Weifang,16.180000000000007,14.720000000000027,16.180000000000007,16.180000000000007,1016,33
Lima,15.230000000000018,15.110000000000014,15.230000000000018,17.25,1013,88
Zhoukou,19.890000000000043,18.980000000000018,19.890000000000043,19.890000000000043,1014,40
Luanda,29.0,32.73000000000002,29.0,29.0,1012,70
Ganzhou,17.010000000000048,16.670000000000016,17.010000000000048,17.010000000000048,1018,73
