city,temp,feels_like,temp_min,temp_max,pressure,humidity
Delhi,39.05000000000001,38.33000000000004,39.05000000000001,39.05000000000001,998,21
Lahore,38.99000000000001,39.120000000000005,38.99000000000001,39.06,997,24
Hyderābād,37.19,36.710000000000036,37.19,38.68000000000001,1006,25
Chennai,35.01000000000005,42.01000000000005,35.01000000000005,35.01000000000005,1001,59
Dhaka,32.98000000000002,38.77000000000004,32.98000000000002,32.98000000000002,1003,58
Kolkāta,32.960000000000036,39.960000000000036,32.960000000000036,32.960000000000036,1001,62
Bangalore,32.44,33.75,31.75,32.85000000000002,950,44
Cairo,32.33000000000004,30.05000000000001,32.33000000000004,32.33000000000004,1009,13
Lagos,32.14000000000004,39.14000000000004,32.14000000000004,32.14000000000004,1013,66
Karachi,32.08000000000004,34.04000000000002,32.08000000000004,32.08000000000004,1001,48
